"Activity","Subject","Feature","Variable","Axis","Average"
"LAYING","1","BodyAcc","mean","X",-0.35875040423
"LAYING","1","BodyAcc","mean","Y",-0.4537895793047
"LAYING","1","BodyAcc","mean","Z",-0.49793521489
"LAYING","1","BodyAcc","std","X",-0.9262469519
"LAYING","1","BodyAcc","std","Y",-0.83522648086
"LAYING","1","BodyAcc","std","Z",-0.819476480534
"LAYING","1","BodyAccJerk","mean","X",-0.4379936748
"LAYING","1","BodyAccJerk","mean","Y",-0.4593122028956
"LAYING","1","BodyAccJerk","mean","Z",-0.4686133339195
"LAYING","1","BodyAccJerk","std","X",-0.9613214103
"LAYING","1","BodyAccJerk","std","Y",-0.928183572
"LAYING","1","BodyAccJerk","std","Z",-0.957721049
"LAYING","1","BodyAccJerkMag","mean",NA,-0.9543962646
"LAYING","1","BodyAccJerkMag","std",NA,-0.9282456284
"LAYING","1","BodyAccMag","mean",NA,-0.8518484003
"LAYING","1","BodyAccMag","std",NA,-0.79672290213
"LAYING","1","BodyBodyAccJerkMag","mean",NA,-0.9333003608
"LAYING","1","BodyBodyAccJerkMag","std",NA,-0.9218039756
"LAYING","1","BodyBodyGyroJerkMag","mean",NA,-0.9423669466
"LAYING","1","BodyBodyGyroJerkMag","std",NA,-0.9326606676
"LAYING","1","BodyBodyGyroMag","mean",NA,-0.8621901854
"LAYING","1","BodyBodyGyroMag","std",NA,-0.82431943968
"LAYING","1","BodyGyro","mean","X",-0.433401134282
"LAYING","1","BodyGyro","mean","Y",-0.508338809444
"LAYING","1","BodyGyro","mean","Z",-0.38030664237
"LAYING","1","BodyGyro","std","X",-0.87792015931
"LAYING","1","BodyGyro","std","Y",-0.9511612448
"LAYING","1","BodyGyro","std","Z",-0.9124335854
"LAYING","1","BodyGyroJerk","mean","X",-0.107270949192
"LAYING","1","BodyGyroJerk","mean","Y",-0.04151728689
"LAYING","1","BodyGyroJerk","mean","Z",-0.0740501211
"LAYING","1","BodyGyroJerk","std","X",-0.9186085208
"LAYING","1","BodyGyroJerk","std","Y",-0.9679072436
"LAYING","1","BodyGyroJerk","std","Z",-0.9577901596
"LAYING","1","BodyGyroJerkMag","mean",NA,-0.96346103
"LAYING","1","BodyGyroJerkMag","std",NA,-0.9358409828
"LAYING","1","BodyGyroMag","mean",NA,-0.874759548
"LAYING","1","BodyGyroMag","std",NA,-0.81901016976
"LAYING","1","GravityAcc","mean","X",-0.24888179828
"LAYING","1","GravityAcc","mean","Y",0.70554977346
"LAYING","1","GravityAcc","mean","Z",0.4458177198
"LAYING","1","GravityAcc","std","X",-0.8968300184
"LAYING","1","GravityAcc","std","Y",-0.90772000676
"LAYING","1","GravityAcc","std","Z",-0.85236629022
"LAYING","1","GravityAccMag","mean",NA,-0.8419291525
"LAYING","1","GravityAccMag","std",NA,-0.79514486386
"LAYING","2","BodyAcc","mean","X",-0.347675827916667
"LAYING","2","BodyAcc","mean","Y",-0.4989798088375
"LAYING","2","BodyAcc","mean","Z",-0.545813296145833
"LAYING","2","BodyAcc","std","X",-0.9736529734375
"LAYING","2","BodyAcc","std","Y",-0.9806512521875
"LAYING","2","BodyAcc","std","Z",-0.9845127409375
"LAYING","2","BodyAccJerk","mean","X",-0.451608189833333
"LAYING","2","BodyAccJerk","mean","Y",-0.485256730982396
"LAYING","2","BodyAccJerk","mean","Z",-0.493999891769792
"LAYING","2","BodyAccJerk","std","X",-0.986561212291667
"LAYING","2","BodyAccJerk","std","Y",-0.984079967083333
"LAYING","2","BodyAccJerk","std","Z",-0.988893691458333
"LAYING","2","BodyAccJerkMag","mean",NA,-0.987741696041667
"LAYING","2","BodyAccJerkMag","std",NA,-0.98551807625
"LAYING","2","BodyAccMag","mean",NA,-0.976272840833333
"LAYING","2","BodyAccMag","std",NA,-0.973997650416667
"LAYING","2","BodyBodyAccJerkMag","mean",NA,-0.985374114791667
"LAYING","2","BodyBodyAccJerkMag","std",NA,-0.984568489166667
"LAYING","2","BodyBodyGyroJerkMag","mean",NA,-0.990248702291667
"LAYING","2","BodyBodyGyroJerkMag","std",NA,-0.989492660416667
"LAYING","2","BodyBodyGyroMag","mean",NA,-0.972112972708333
"LAYING","2","BodyBodyGyroMag","std",NA,-0.96109837875
"LAYING","2","BodyGyro","mean","X",-0.502453874625
"LAYING","2","BodyGyro","mean","Y",-0.54756123
"LAYING","2","BodyGyro","mean","Z",-0.408894520697917
"LAYING","2","BodyGyro","std","X",-0.988567959375
"LAYING","2","BodyGyro","std","Y",-0.982101112708333
"LAYING","2","BodyGyro","std","Z",-0.961740391354167
"LAYING","2","BodyGyroJerk","mean","X",-0.101974134208333
"LAYING","2","BodyGyroJerk","mean","Y",-0.0358590176083333
"LAYING","2","BodyGyroJerk","mean","Z",-0.0701783020833333
"LAYING","2","BodyGyroJerk","std","X",-0.993235849166667
"LAYING","2","BodyGyroJerk","std","Y",-0.989567537916667
"LAYING","2","BodyGyroJerk","std","Z",-0.98803582125
